member,valid_time,lead_h,track_err_km,slp_pred,slp_obs,wind_pred_kt,wind_obs_kt,slp_err,wind_err_kt
0,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
0,2024-10-07 06:00:00,6,42.66649853236331,984.5469518651361,972.0,65.72768289650469,90.0,12.546951865136066,-24.27231710349531
0,2024-10-07 12:00:00,12,54.40647855813773,980.4885841109894,943.0,72.54569454401664,120.0,37.48858411098945,-47.45430545598336
0,2024-10-07 18:00:00,18,50.49924105552763,960.7019547499133,908.0,97.8662158096177,150.0,52.701954749913284,-52.1337841903823
0,2024-10-08 00:00:00,24,62.58385516017335,939.4191843116822,902.0,120.24994408109018,145.0,37.419184311682216,-24.750055918909823
0,2024-10-08 06:00:00,30,67.04238409120143,937.307297945059,925.0,125.6697314548037,125.0,12.307297945058963,0.6697314548036957
0,2024-10-08 12:00:00,36,97.99199639170432,964.1241241052868,929.0,92.743634632305,125.0,35.124124105286796,-32.256365367695
0,2024-10-08 18:00:00,42,72.91631969034266,941.7157504940074,916.0,119.29425935277467,140.0,25.715750494007352,-20.705740647225326
0,2024-10-09 00:00:00,48,100.93574417986534,952.524659961943,908.0,109.91809582042731,140.0,44.52465996194303,-30.08190417957269
0,2024-10-09 06:00:00,54,112.85561505013919,927.4093790150434,909.0,137.01751552138083,140.0,18.40937901504344,-2.9824844786191704
0,2024-10-09 12:00:00,60,69.77479766661898,953.2589662661062,919.0,102.45251628139926,135.0,34.2589662661062,-32.547483718600745
0,2024-10-09 18:00:00,66,16.9503880576811,953.0117258994314,945.0,103.4860596353138,115.0,8.01172589943144,-11.513940364686206
0,2024-10-10 00:00:00,72,37.599302424775885,963.1144817388363,956.0,92.14403832003833,105.0,7.114481738836275,-12.855961679961666
0,2024-10-10 06:00:00,78,22.451740030538055,978.349796799398,975.0,68.5809393826153,70.0,3.34979679939795,-1.4190606173847016
0,2024-10-10 12:00:00,84,70.63220654583112,977.4718599709638,983.0,68.24091083320509,65.0,-5.528140029036194,3.240910833205092
0,2024-10-10 18:00:00,90,94.55179114637171,992.5231622818704,984.0,52.67035808284796,60.0,8.523162281870441,-7.329641917152038
0,2024-10-11 00:00:00,96,120.8790269953794,989.7267948444688,986.0,54.28966625555521,60.0,3.7267948444688273,-5.710333744444789
0,2024-10-11 06:00:00,102,148.99222031341418,989.3198979089703,993.0,46.9762729565027,55.0,-3.680102091029653,-8.023727043497303
0,2024-10-11 12:00:00,108,276.524636360988,996.0841444294508,997.0,44.53383024664191,55.0,-0.9158555705491835,-10.466169753358088
0,2024-10-11 18:00:00,114,487.5678162787444,1002.849266783804,999.0,33.444039801899926,50.0,3.849266783803955,-16.555960198100074
1,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
1,2024-10-07 06:00:00,6,37.94447103391227,978.8502605241663,972.0,75.5643888608345,90.0,6.850260524166288,-14.435611139165502
1,2024-10-07 12:00:00,12,32.77055955810578,961.5214399078321,943.0,96.57305362384476,120.0,18.521439907832132,-23.426946376155243
1,2024-10-07 18:00:00,18,73.08952964094519,953.6040620924892,908.0,108.40887408680027,150.0,45.604062092489244,-41.59112591319973
1,2024-10-08 00:00:00,24,39.92957767399018,950.4237149927676,902.0,115.61806939701435,145.0,48.4237149927676,-29.381930602985648
1,2024-10-08 06:00:00,30,11.174450630574405,966.8640027813955,925.0,94.38638623667657,125.0,41.86400278139547,-30.61361376332343
1,2024-10-08 12:00:00,36,71.14072939916264,929.5149529929922,929.0,139.55868744707487,125.0,0.514952992992221,14.558687447074874
1,2024-10-08 18:00:00,42,86.26353874166392,954.9545163525344,916.0,98.8158094599012,140.0,38.95451635253437,-41.1841905400988
1,2024-10-09 00:00:00,48,90.16152342730854,940.7162352389896,908.0,117.22727365942379,140.0,32.71623523898961,-22.772726340576213
1,2024-10-09 06:00:00,54,82.9324267372073,914.356657468529,909.0,149.64327683077312,140.0,5.356657468528965,9.643276830773118
1,2024-10-09 12:00:00,60,57.354934020691246,939.827551810544,919.0,122.12978606719392,135.0,20.827551810544037,-12.870213932806081
1,2024-10-09 18:00:00,66,49.22586710971362,958.2556476288079,945.0,93.76757309907809,115.0,13.255647628807878,-21.232426900921908
1,2024-10-10 00:00:00,72,70.38746868050958,951.8722764487052,956.0,97.74838417205137,105.0,-4.127723551294821,-7.251615827948626
1,2024-10-10 06:00:00,78,164.9103710269279,971.2848534874747,975.0,79.27224415510723,70.0,-3.71514651252528,9.27224415510723
1,2024-10-10 12:00:00,84,280.06929233753243,987.1656011274018,983.0,52.41866411951452,65.0,4.165601127401828,-12.581335880485483
1,2024-10-10 18:00:00,90,353.22063059415075,990.5713503568398,984.0,48.780079195234016,60.0,6.571350356839844,-11.219920804765984
1,2024-10-11 00:00:00,96,366.94470540925585,993.9308120614508,986.0,52.58702873566507,60.0,7.930812061450752,-7.412971264334928
1,2024-10-11 06:00:00,102,450.2043091128574,994.1233224343346,993.0,54.98533522907323,55.0,1.1233224343345682,-0.014664770926771098
1,2024-10-11 12:00:00,108,409.0039072654355,993.0610422068278,997.0,49.15155206551474,55.0,-3.9389577931722215,-5.848447934485257
1,2024-10-11 18:00:00,114,516.6453015015974,988.443939375554,999.0,56.34305128251048,50.0,-10.55606062444599,6.34305128251048
2,2024-10-07 00:00:00,0,0.0,981.0,981.0,75.0,75.0,0.0,0.0
2,2024-10-07 06:00:00,6,52.31271336114702,990.0489059944132,972.0,62.59111149073509,90.0,18.04890599441319,-27.408888509264912
2,2024-10-07 12:00:00,12,15.95178230516388,968.1339275286664,943.0,92.40961352666727,120.0,25.13392752866639,-27.590386473332728
2,2024-10-07 18:00:00,18,24.341383673273942,972.0772963516245,908.0,82.42039048964078,150.0,64.07729635162445,-67.57960951035922
2,2024-10-08 00:00:00,24,75.51362143299447,931.7378255628337,902.0,132.80370292480376,145.0,29.737825562833677,-12.196297075196242
2,2024-10-08 06:00:00,30,71.03258362093665,979.417506844439,925.0,77.84930605350974,125.0,54.417506844439,-47.150693946490264
2,2024-10-08 12:00:00,36,36.233339183500384,950.8758334411364,929.0,104.02967578150677,125.0,21.875833441136365,-20.970324218493232
2,2024-10-08 18:00:00,42,125.46879384068471,940.2177243638678,916.0,123.25686402944646,140.0,24.217724363867774,-16.74313597055354
2,2024-10-09 00:00:00,48,148.21120131662116,917.4708137116295,908.0,147.07310762917865,140.0,9.47081371162949,7.073107629178651
