lead_h,members,mean_member_track_err_km,slp_pred_mean,slp_obs,wind_pred_mean_kt,wind_obs_kt,ens_mean_track_err_km
0,8,0.0,981.0,981.0,75.0,75.0,0.0
6,8,31.135210967386485,974.0581783173039,972.0,82.49669063241328,90.0,16.24074847094273
12,8,33.58233985105355,967.1023524632071,943.0,89.40794216454829,120.0,25.160021370476542
18,8,64.66345362347988,965.9113562769481,908.0,91.75380366479116,150.0,51.99609831313823
24,8,49.78883248534871,953.6006566312632,902.0,105.75868285810677,145.0,46.79188371006967
30,8,41.02286045719352,959.6896418150773,925.0,98.2400463290441,125.0,36.64301254778902
36,8,64.91359399668097,950.9412498909838,929.0,108.55684525759987,125.0,52.8655851151552
42,8,108.31424357051442,950.7360862081013,916.0,108.9735287240679,140.0,106.75469248409502
48,8,128.9111973345707,937.1397941207084,908.0,125.73008499654713,140.0,126.5591361454577
54,8,109.76703920652415,932.8293824630505,909.0,128.5660936151616,140.0,107.08632132145428
60,8,87.58042250944702,936.5220645316379,919.0,124.21328487801182,135.0,82.12247569667166
66,8,75.42178721707805,948.5676075579896,945.0,109.47657190446805,115.0,62.61333626064999
72,8,81.83889779470101,961.9293915114164,956.0,89.74232395582624,105.0,56.45152365417909
78,8,125.56442408215733,972.8886691436358,975.0,75.29738585860817,70.0,77.10619708500792
84,8,135.162259942756,982.6025764260842,983.0,64.40761384537856,65.0,96.57666746994296
90,8,168.34055424799567,985.0112429286819,984.0,60.77276249296433,60.0,136.9478581742903
96,8,198.51429671324894,986.8465556258951,986.0,61.23026589013993,60.0,164.07882824599753
102,8,206.89742369045888,987.7565901162333,993.0,55.34561681160027,55.0,160.0729995484706
108,8,249.76901963062855,988.26394483453,997.0,57.03544146182274,55.0,222.62195532371226
114,8,369.47225394978165,989.4800876513192,999.0,53.71850508350822,50.0,307.15581422765104
